Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Customer_Name,Segment,Region,Category,Sub_Category,Product_Name,Sales,Quantity,Discount,Profit
ORD-59797,2025-07-05,2025-07-10,First Class,CUS-9167,Customer_40,Consumer,Central,Furniture,Furnishings,Furnishings_514,714.75,9,0.2,18.3
ORD-22676,2025-05-31,2025-06-02,First Class,CUS-8242,Customer_41,Consumer,West,Furniture,Chairs,Chairs_697,2474.33,2,0.1,155.64
ORD-57052,2025-09-28,2025-09-30,Second Class,CUS-1845,Customer_42,Consumer,South,Office Supplies,Art,Art_935,168.04,9,0.25,29.42
ORD-55082,2024-09-09,2024-09-14,Same Day,CUS-4335,Customer_43,Corporate,Central,Technology,Accessories,Accessories_843,163.32,10,0.1,48.5
ORD-89131,2024-08-21,2024-08-23,Same Day,CUS-5375,Customer_44,Consumer,East,Office Supplies,Binders,Binders_802,85.36,2,0.2,20.03
ORD-44671,2025-01-20,2025-01-25,Same Day,CUS-9998,Customer_45,Home Office,Central,Office Supplies,Storage,Storage_787,119.57,4,0.0,31.46
ORD-15695,2024-07-12,2024-07-17,Same Day,CUS-3146,Customer_46,Home Office,East,Furniture,Bookcases,Bookcases_965,2876.24,8,0.15,158.08
ORD-70217,2024-09-26,2024-10-01,First Class,CUS-5719,Customer_47,Consumer,West,Technology,Computers,Computers_400,2886.56,2,0.0,884.48
ORD-80284,2025-09-16,2025-09-21,Second Class,CUS-8178,Customer_48,Consumer,East,Technology,Copiers,Copiers_231,4667.02,9,0.2,338.67
ORD-26361,2025-08-07,2025-08-13,Second Class,CUS-8941,Customer_49,Home Office,Central,Office Supplies,Pens,Pens_842,291.83,10,0.0,108.95
ORD-59615,2024-07-13,2024-07-17,First Class,CUS-2989,Customer_50,Corporate,Central,Office Supplies,Binders,Binders_796,244.88,5,0.25,55.46
ORD-20328,2022-12-12,2022-12-15,Second Class,CUS-1472,Customer_51,Consumer,Central,Furniture,Chairs,Chairs_327,1009.81,10,0.1,265.39
ORD-82357,2024-09-16,2024-09-22,First Class,CUS-4920,Customer_52,Consumer,West,Furniture,Tables,Tables_862,1858.48,1,0.2,529.02
ORD-48427,2023-06-20,2023-06-24,Same Day,CUS-3594,Customer_53,Home Office,West,Furniture,Furnishings,Furnishings_907,503.67,6,0.15,17.34
ORD-92397,2024-07-30,2024-08-06,First Class,CUS-6091,Customer_54,Consumer,South,Furniture,Bookcases,Bookcases_366,2704.96,9,0.3,462.17
ORD-91070,2023-01-01,2023-01-06,Same Day,CUS-1224,Customer_55,Corporate,Central,Office Supplies,Pens,Pens_574,416.37,1,0.15,51.66
ORD-57400,2025-07-06,2025-07-09,Same Day,CUS-7684,Customer_56,Home Office,East,Technology,Copiers,Copiers_154,1621.78,8,0.25,400.29
ORD-85674,2024-02-17,2024-02-23,Standard Class,CUS-2527,Customer_57,Consumer,West,Office Supplies,Art,Art_694,476.87,8,0.3,14.31
ORD-35203,2023-02-21,2023-02-26,First Class,CUS-4681,Customer_58,Home Office,Central,Office Supplies,Paper,Paper_583,414.35,9,0.0,131.54
ORD-19116,2025-07-18,2025-07-20,Standard Class,CUS-2858,Customer_59,Consumer,Central,Technology,Phones,Phones_988,3348.22,8,0.0,1216.39
ORD-16006,2025-10-16,2025-10-22,First Class,CUS-8560,Customer_60,Consumer,West,Office Supplies,Storage,Storage_642,69.66,10,0.15,2.61
ORD-96673,2024-12-25,2024-12-27,First Class,CUS-2924,Customer_61,Consumer,South,Furniture,Furnishings,Furnishings_155,1486.88,6,0.2,177.38
ORD-39871,2024-03-18,2024-03-19,Standard Class,CUS-3522,Customer_62,Corporate,West,Technology,Computers,Computers_305,2555.23,7,0.0,839.89
ORD-47930,2023-06-21,2023-06-23,Standard Class,CUS-9165,Customer_63,Corporate,West,Furniture,Furnishings,Furnishings_683,774.4,6,0.2,105.69
ORD-20458,2022-12-16,2022-12-20,First Class,CUS-5781,Customer_64,Home Office,East,Furniture,Tables,Tables_423,331.9,5,0.15,34.91
ORD-40512,2024-08-11,2024-08-15,Second Class,CUS-9337,Customer_65,Consumer,East,Office Supplies,Binders,Binders_897,390.59,5,0.2,25.76
ORD-23238,2023-09-14,2023-09-18,Same Day,CUS-5479,Customer_66,Consumer,South,Technology,Copiers,Copiers_440,654.07,3,0.25,9.45
ORD-59823,2023-12-30,2024-01-03,Standard Class,CUS-7807,Customer_67,Corporate,Central,Office Supplies,Binders,Binders_420,301.2,1,0.3,62.39
ORD-46434,2025-08-31,2025-09-07,Same Day,CUS-8905,Customer_68,Consumer,West,Office Supplies,Paper,Paper_104,468.86,10,0.15,92.65
ORD-69429,2025-06-30,2025-07-07,Second Class,CUS-8736,Customer_69,Corporate,South,Furniture,Bookcases,Bookcases_314,2640.71,5,0.3,-71.52
ORD-93320,2023-03-15,2023-03-21,Second Class,CUS-4993,Customer_70,Consumer,East,Technology,Computers,Computers_601,1424.88,10,0.2,163.54
ORD-57819,2023-08-17,2023-08-22,Second Class,CUS-8483,Customer_71,Home Office,West,Technology,Computers,Computers_729,4264.67,5,0.1,683.71
ORD-31319,2024-01-06,2024-01-11,Standard Class,CUS-3369,Customer_72,Consumer,Central,Furniture,Furnishings,Furnishings_513,100.96,1,0.25,2.98
ORD-58520,2024-09-03,2024-09-09,Second Class,CUS-7284,Customer_73,Consumer,East,Furniture,Furnishings,Furnishings_492,151.29,8,0.2,19.77
ORD-56566,2025-07-14,2025-07-19,Standard Class,CUS-4122,Customer_74,Corporate,East,Technology,Phones,Phones_646,3032.64,10,0.15,377.96
ORD-37460,2024-12-18,2024-12-21,Second Class,CUS-9327,Customer_75,Consumer,East,Technology,Accessories,Accessories_114,1855.75,3,0.2,190.29
ORD-97841,2023-10-28,2023-11-01,Same Day,CUS-3236,Customer_76,Consumer,South,Furniture,Tables,Tables_118,1220.74,10,0.1,331.68
ORD-44993,2025-11-03,2025-11-06,Same Day,CUS-2143,Customer_77,Corporate,Central,Office Supplies,Paper,Paper_741,286.58,1,0.0,47.85
ORD-99593,2024-11-02,2024-11-08,First Class,CUS-5526,Customer_78,Home Office,West,Office Supplies,Binders,Binders_331,103.97,5,0.2,20.02
ORD-94939,2024-05-02,2024-05-07,Same Day,CUS-7798,Customer_79,Home Office,South,Office Supplies,Pens,Pens_419,113.76,10,0.3,13.79
ORD-19358,2025-07-26,2025-07-28,First Class,CUS-6568,Customer_80,Corporate,South,Technology,Phones,Phones_492,2448.78,1,0.15,478.56
ORD-89840,2024-03-26,2024-03-29,Same Day,CUS-9318,Customer_81,Corporate,South,Office Supplies,Art,Art_413,379.58,5,0.1,94.48
ORD-93227,2024-07-11,2024-07-13,Standard Class,CUS-5377,Customer_82,Corporate,East,Technology,Phones,Phones_943,3116.51,8,0.0,824.36
ORD-32431,2024-07-09,2024-07-16,Same Day,CUS-1042,Customer_83,Corporate,Central,Technology,Accessories,Accessories_397,1521.91,2,0.3,325.35
ORD-80010,2024-06-21,2024-06-27,First Class,CUS-5634,Customer_84,Corporate,South,Furniture,Bookcases,Bookcases_544,1347.98,3,0.2,273.2
ORD-42087,2024-01-06,2024-01-12,First Class,CUS-5891,Customer_85,Home Office,West,Office Supplies,Binders,Binders_450,93.63,9,0.3,10.68
ORD-31417,2025-08-05,2025-08-08,Second Class,CUS-9022,Customer_86,Home Office,Central,Furniture,Bookcases,Bookcases_868,316.43,2,0.0,110.41
ORD-70589,2025-07-17,2025-07-20,Standard Class,CUS-3434,Customer_87,Corporate,West,Technology,Computers,Computers_931,3924.35,5,0.2,713.62
ORD-59735,2024-05-21,2024-05-24,Same Day,CUS-8316,Customer_88,Consumer,Central,Furniture,Chairs,Chairs_333,869.62,5,0.2,75.96
ORD-45382,2023-07-15,2023-07-20,Second Class,CUS-9824,Customer_89,Corporate,West,Technology,Computers,Computers_316,929.94,3,0.25,34.53
ORD-93886,2024-12-24,2024-12-28,Same Day,CUS-8935,Customer_90,Consumer,East,Office Supplies,Paper,Paper_703,348.89,10,0.3,-1.5
ORD-83000,2024-10-14,2024-10-21,Same Day,CUS-6654,Customer_91,Corporate,South,Office Supplies,Binders,Binders_226,312.85,5,0.3,68.78
ORD-38785,2023-09-03,2023-09-06,Second Class,CUS-6446,Customer_92,Corporate,West,Furniture,Chairs,Chairs_484,1936.25,5,0.0,606.12
ORD-99733,2023-02-02,2023-02-05,Second Class,CUS-9903,Customer_93,Home Office,Central,Office Supplies,Pens,Pens_889,122.16,5,0.0,46.57
ORD-52504,2023-04-18,2023-04-21,Second Class,CUS-7180,Customer_94,Consumer,South,Office Supplies,Art,Art_149,124.0,1,0.1,28.64
ORD-17331,2025-05-01,2025-05-07,Second Class,CUS-8460,Customer_95,Consumer,South,Office Supplies,Paper,Paper_777,118.19,2,0.2,16.79
ORD-40021,2024-04-16,2024-04-22,Second Class,CUS-6272,Customer_96,Home Office,Central,Technology,Phones,Phones_149,910.08,10,0.2,16.3
ORD-14207,2025-07-16,2025-07-18,Same Day,CUS-4090,Customer_97,Home Office,West,Office Supplies,Paper,Paper_526,331.3,3,0.3,50.19
ORD-51347,2023-12-26,2024-01-02,Second Class,CUS-4912,Customer_98,Home Office,East,Furniture,Furnishings,Furnishings_226,2559.25,10,0.25,383.02
ORD-62581,2024-05-16,2024-05-21,Standard Class,CUS-7274,Customer_99,Home Office,East,Office Supplies,Pens,Pens_585,364.92,3,0.0,144.9
ORD-45093,2024-05-17,2024-05-19,First Class,CUS-4826,Customer_100,Consumer,West,Office Supplies,Binders,Binders_310,398.13,8,0.3,8.66
ORD-18675,2023-06-19,2023-06-24,Second Class,CUS-7730,Customer_101,Consumer,South,Office Supplies,Paper,Paper_408,208.35,6,0.1,43.59
ORD-37653,2024-03-12,2024-03-14,Second Class,CUS-1715,Customer_102,Corporate,South,Furniture,Chairs,Chairs_778,1996.82,3,0.0,589.64
ORD-84341,2023-02-19,2023-02-25,Same Day,CUS-6213,Customer_103,Corporate,South,Office Supplies,Pens,Pens_737,183.58,5,0.15,40.09
ORD-51245,2025-10-30,2025-11-01,Second Class,CUS-8749,Customer_104,Home Office,South,Office Supplies,Binders,Binders_528,267.5,4,0.1,58.42
ORD-37869,2024-02-27,2024-02-28,Second Class,CUS-7246,Customer_105,Home Office,West,Technology,Phones,Phones_389,2434.09,8,0.15,628.19
ORD-95909,2023-06-01,2023-06-05,Second Class,CUS-7325,Customer_106,Home Office,South,Technology,Phones,Phones_609,925.59,3,0.1,103.2
ORD-75435,2024-09-14,2024-09-20,Same Day,CUS-3492,Customer_107,Corporate,Central,Technology,Computers,Computers_896,1966.04,9,0.25,378.83
ORD-61856,2025-07-02,2025-07-03,Second Class,CUS-9115,Customer_108,Corporate,South,Furniture,Tables,Tables_466,2895.08,1,0.2,538.25
ORD-94259,2023-08-16,2023-08-17,First Class,CUS-1606,Customer_109,Corporate,East,Office Supplies,Storage,Storage_402,131.8,6,0.0,48.61
ORD-70142,2023-09-27,2023-10-01,Same Day,CUS-3068,Customer_110,Corporate,South,Technology,Phones,Phones_661,712.33,2,0.1,216.66
ORD-28726,2025-07-09,2025-07-13,First Class,CUS-9229,Customer_111,Corporate,West,Furniture,Tables,Tables_804,1313.88,3,0.2,124.22
ORD-44718,2023-12-21,2023-12-28,Same Day,CUS-6439,Customer_112,Corporate,East,Furniture,Bookcases,Bookcases_340,2391.98,10,0.3,78.63
ORD-28301,2024-06-18,2024-06-21,Second Class,CUS-2644,Customer_113,Corporate,West,Technology,Phones,Phones_787,2931.63,3,0.2,863.35
ORD-42325,2024-06-14,2024-06-20,First Class,CUS-8213,Customer_114,Home Office,West,Technology,Phones,Phones_955,3420.83,8,0.15,626.63
ORD-83579,2023-03-09,2023-03-16,Same Day,CUS-2633,Customer_115,Home Office,East,Office Supplies,Storage,Storage_252,102.95,7,0.3,22.85
ORD-80644,2023-05-10,2023-05-16,Standard Class,CUS-9617,Customer_116,Home Office,West,Technology,Phones,Phones_840,3113.79,7,0.25,75.24
ORD-44438,2024-02-26,2024-03-02,Second Class,CUS-8486,Customer_117,Home Office,West,Office Supplies,Paper,Paper_362,168.52,4,0.25,28.29
ORD-86622,2023-01-23,2023-01-25,Same Day,CUS-1251,Customer_118,Corporate,South,Office Supplies,Binders,Binders_567,418.81,8,0.15,112.22
ORD-66155,2025-03-12,2025-03-19,Standard Class,CUS-3361,Customer_119,Consumer,Central,Furniture,Bookcases,Bookcases_575,1924.97,3,0.3,450.86
ORD-86484,2023-11-03,2023-11-04,Same Day,CUS-7717,Customer_120,Corporate,West,Technology,Phones,Phones_932,1034.34,4,0.2,104.68
ORD-62350,2025-01-29,2025-02-05,Standard Class,CUS-3529,Customer_121,Consumer,West,Technology,Phones,Phones_972,369.85,10,0.15,89.69
ORD-57447,2025-08-18,2025-08-20,Second Class,CUS-2225,Customer_122,Home Office,West,Furniture,Bookcases,Bookcases_920,223.64,6,0.2,36.15
ORD-38746,2024-06-22,2024-06-23,First Class,CUS-8692,Customer_123,Corporate,South,Office Supplies,Pens,Pens_536,191.99,1,0.3,-6.11
ORD-28131,2022-11-26,2022-11-29,Standard Class,CUS-5342,Customer_124,Home Office,Central,Office Supplies,Paper,Paper_197,140.27,5,0.25,25.53
ORD-76784,2023-06-15,2023-06-18,Same Day,CUS-6546,Customer_125,Corporate,East,Technology,Phones,Phones_972,3248.15,2,0.2,672.46
ORD-74686,2024-06-12,2024-06-16,Second Class,CUS-7512,Customer_126,Home Office,South,Technology,Computers,Computers_436,2521.7,1,0.2,704.01
ORD-21915,2025-10-16,2025-10-20,Standard Class,CUS-2315,Customer_127,Consumer,South,Furniture,Furnishings,Furnishings_736,871.46,3,0.25,108.23
ORD-16175,2023-08-09,2023-08-16,Same Day,CUS-6383,Customer_128,Consumer,Central,Furniture,Chairs,Chairs_481,532.79,8,0.15,50.12
ORD-24371,2025-09-05,2025-09-09,Same Day,CUS-9742,Customer_129,Consumer,Central,Furniture,Tables,Tables_216,468.88,7,0.1,29.71
ORD-30033,2024-05-19,2024-05-21,Same Day,CUS-7226,Customer_130,Corporate,South,Furniture,Furnishings,Furnishings_567,2607.52,8,0.2,325.14
ORD-92240,2023-06-26,2023-06-29,Standard Class,CUS-6188,Customer_131,Consumer,East,Furniture,Furnishings,Furnishings_806,806.09,5,0.0,153.62
ORD-30969,2023-10-06,2023-10-12,Standard Class,CUS-8994,Customer_132,Corporate,South,Furniture,Furnishings,Furnishings_764,1989.96,8,0.0,653.36
ORD-99192,2025-06-04,2025-06-10,Standard Class,CUS-9864,Customer_133,Consumer,Central,Technology,Phones,Phones_235,4062.9,9,0.15,533.38
ORD-65333,2024-04-17,2024-04-23,First Class,CUS-1588,Customer_134,Consumer,East,Office Supplies,Paper,Paper_964,310.9,4,0.2,88.52
ORD-88172,2023-11-24,2023-11-25,Standard Class,CUS-2121,Customer_135,Corporate,Central,Technology,Phones,Phones_526,4304.85,7,0.2,1242.78
ORD-18326,2024-09-28,2024-10-05,Standard Class,CUS-4846,Customer_136,Corporate,East,Office Supplies,Storage,Storage_921,202.27,7,0.1,47.79
ORD-60432,2024-07-04,2024-07-09,Standard Class,CUS-5708,Customer_137,Consumer,West,Office Supplies,Storage,Storage_285,478.55,8,0.3,109.4
ORD-60019,2023-12-08,2023-12-10,First Class,CUS-4727,Customer_138,Corporate,Central,Office Supplies,Storage,Storage_897,75.24,5,0.1,20.94
ORD-88104,2025-02-15,2025-02-22,Standard Class,CUS-2480,Customer_139,Consumer,Central,Furniture,Chairs,Chairs_983,396.23,3,0.0,104.63
ORD-71348,2025-04-01,2025-04-06,Same Day,CUS-8110,Customer_140,Corporate,South,Office Supplies,Binders,Binders_594,332.76,9,0.0,51.28
ORD-79352,2024-09-09,2024-09-10,Standard Class,CUS-2612,Customer_141,Home Office,Central,Furniture,Chairs,Chairs_521,2834.21,7,0.3,248.22
ORD-42953,2025-02-05,2025-02-11,Same Day,CUS-2646,Customer_142,Home Office,Central,Furniture,Chairs,Chairs_164,2445.76,1,0.0,656.11
ORD-82512,2023-05-22,2023-05-24,Same Day,CUS-8269,Customer_143,Home Office,West,Furniture,Bookcases,Bookcases_112,321.61,5,0.0,115.52
ORD-11504,2023-08-22,2023-08-26,Same Day,CUS-3725,Customer_144,Home Office,Central,Office Supplies,Art,Art_885,146.89,8,0.2,21.21
ORD-99166,2024-08-31,2024-09-02,First Class,CUS-5906,Customer_145,Home Office,West,Office Supplies,Art,Art_841,465.86,7,0.3,102.16
ORD-25014,2022-11-21,2022-11-24,First Class,CUS-1474,Customer_146,Consumer,West,Office Supplies,Binders,Binders_785,134.0,6,0.0,40.51
ORD-99353,2025-01-01,2025-01-03,First Class,CUS-1753,Customer_147,Home Office,West,Furniture,Chairs,Chairs_543,2365.39,9,0.1,215.49
ORD-80381,2025-05-10,2025-05-17,Standard Class,CUS-6314,Customer_148,Home Office,West,Office Supplies,Binders,Binders_593,414.31,1,0.2,123.67
ORD-44973,2024-05-07,2024-05-10,Same Day,CUS-1919,Customer_149,Home Office,East,Furniture,Furnishings,Furnishings_252,1536.81,2,0.25,204.66
ORD-94012,2024-07-18,2024-07-23,First Class,CUS-5806,Customer_150,Home Office,South,Office Supplies,Art,Art_155,199.31,9,0.3,13.46
ORD-54587,2022-12-01,2022-12-04,First Class,CUS-6873,Customer_151,Corporate,East,Technology,Computers,Computers_617,2278.12,6,0.15,507.42
ORD-24621,2024-11-13,2024-11-19,Standard Class,CUS-7141,Customer_152,Consumer,Central,Furniture,Furnishings,Furnishings_990,758.2,7,0.1,62.68
ORD-48469,2024-03-05,2024-03-06,First Class,CUS-8056,Customer_153,Home Office,East,Technology,Phones,Phones_869,4452.49,10,0.15,961.57
ORD-66985,2023-07-08,2023-07-12,Standard Class,CUS-3385,Customer_154,Home Office,East,Furniture,Bookcases,Bookcases_346,1406.8,5,0.25,175.11
ORD-30730,2024-07-28,2024-07-30,Second Class,CUS-5000,Customer_155,Home Office,Central,Furniture,Bookcases,Bookcases_151,2659.13,6,0.25,257.94
ORD-69470,2025-02-15,2025-02-21,First Class,CUS-9702,Customer_156,Consumer,Central,Office Supplies,Binders,Binders_663,61.79,5,0.0,23.85
ORD-10425,2025-09-02,2025-09-08,Second Class,CUS-7751,Customer_157,Corporate,Central,Office Supplies,Storage,Storage_512,494.25,5,0.0,126.9
ORD-44522,2024-08-05,2024-08-11,Standard Class,CUS-3950,Customer_158,Consumer,East,Technology,Phones,Phones_570,2244.2,2,0.3,35.31
ORD-75612,2023-07-06,2023-07-12,Same Day,CUS-3785,Customer_159,Corporate,East,Furniture,Furnishings,Furnishings_190,238.71,5,0.25,26.9
ORD-33416,2024-07-04,2024-07-07,First Class,CUS-3868,Customer_160,Home Office,Central,Furniture,Furnishings,Furnishings_423,210.26,10,0.2,57.99
ORD-76542,2024-02-03,2024-02-05,Standard Class,CUS-2293,Customer_161,Home Office,South,Technology,Copiers,Copiers_863,3743.73,7,0.2,197.78
ORD-23947,2023-08-08,2023-08-12,Same Day,CUS-7267,Customer_162,Consumer,South,Office Supplies,Paper,Paper_205,332.93,8,0.1,38.02
ORD-91959,2023-09-17,2023-09-21,Same Day,CUS-4945,Customer_163,Consumer,West,Furniture,Furnishings,Furnishings_136,2426.18,4,0.15,70.14
ORD-49117,2024-12-12,2024-12-16,Second Class,CUS-9153,Customer_164,Corporate,Central,Office Supplies,Art,Art_100,61.63,10,0.3,-2.82
ORD-93748,2025-06-29,2025-07-06,Standard Class,CUS-3344,Customer_165,Corporate,West,Technology,Accessories,Accessories_620,226.08,4,0.2,56.25
ORD-76540,2024-01-29,2024-02-05,Same Day,CUS-4804,Customer_166,Consumer,South,Office Supplies,Binders,Binders_770,259.2,9,0.2,56.93
ORD-89818,2024-03-28,2024-04-03,First Class,CUS-8555,Customer_167,Corporate,West,Office Supplies,Storage,Storage_449,199.92,6,0.25,16.3
ORD-36071,2023-04-24,2023-04-29,First Class,CUS-5161,Customer_168,Consumer,Central,Furniture,Chairs,Chairs_936,1439.65,3,0.15,337.59
ORD-30032,2025-05-10,2025-05-15,Second Class,CUS-8529,Customer_169,Corporate,Central,Technology,Copiers,Copiers_439,4958.36,6,0.25,463.91
ORD-59009,2024-11-17,2024-11-18,Same Day,CUS-5183,Customer_170,Consumer,Central,Office Supplies,Art,Art_714,485.67,9,0.15,150.98
ORD-31174,2023-06-25,2023-06-26,Standard Class,CUS-1153,Customer_171,Consumer,East,Furniture,Bookcases,Bookcases_833,2832.71,1,0.25,751.0
ORD-80697,2025-09-08,2025-09-10,First Class,CUS-8622,Customer_172,Consumer,West,Furniture,Chairs,Chairs_199,2373.14,1,0.25,220.32
ORD-79514,2023-09-10,2023-09-12,Same Day,CUS-5712,Customer_173,Corporate,South,Office Supplies,Binders,Binders_102,183.87,2,0.0,65.51
ORD-10074,2024-09-09,2024-09-16,Same Day,CUS-9955,Customer_174,Corporate,South,Furniture,Bookcases,Bookcases_949,1295.18,1,0.0,429.9
ORD-88504,2025-10-08,2025-10-12,Second Class,CUS-3588,Customer_175,Corporate,South,Office Supplies,Pens,Pens_660,279.31,7,0.2,25.98
ORD-52487,2023-07-04,2023-07-10,First Class,CUS-2210,Customer_176,Consumer,East,Office Supplies,Pens,Pens_818,416.96,2,0.0,70.72
ORD-74042,2024-01-02,2024-01-08,First Class,CUS-8237,Customer_177,Corporate,East,Technology,Phones,Phones_268,390.13,9,0.2,53.63
ORD-12552,2025-08-05,2025-08-06,Standard Class,CUS-6661,Customer_178,Corporate,Central,Furniture,Tables,Tables_941,1330.46,2,0.2,311.87
